label,precision,recall,f1-score,support
1,0.39,0.73,0.51,15
2,0.62,0.53,0.57,15
3,0.94,1,0.97,15
4,0.7,0.93,0.8,15
5,0.94,1,0.97,15
6,1,0.93,0.97,15
7,0.82,0.93,0.87,15
8,0.79,1,0.88,15
9,0.94,1,0.97,15
10,0.93,0.93,0.93,15
11,0.94,1,0.97,15
12,0.86,0.8,0.83,15
13,0.6,0.4,0.48,15
14,0.6,1,0.75,15
15,1,0.87,0.93,15
16,0.93,0.93,0.93,15
17,0.8,0.8,0.8,15
18,1,0.93,0.97,15
19,0.88,0.47,0.61,15
20,0.89,0.53,0.67,15
21,0.79,1,0.88,15
22,0.88,0.93,0.9,15
23,0.81,0.87,0.84,15
24,0.82,0.93,0.87,15
25,0.5,0.13,0.21,15
26,0.8,0.8,0.8,15
27,0.83,0.67,0.74,15
28,0.86,0.8,0.83,15
29,0.42,0.67,0.51,15
30,0.81,0.87,0.84,15
31,0.61,0.73,0.67,15
32,0.6,0.6,0.6,15
33,0.5,0.47,0.48,15
34,0.5,0.6,0.55,15
35,0.93,0.87,0.9,15
36,0.5,0.67,0.57,15
37,0.83,0.67,0.74,15
38,1,0.8,0.89,15
39,0.44,0.53,0.48,15
40,0.93,0.93,0.93,15
41,1,0.93,0.97,15
42,1,0.73,0.85,15
43,0.81,0.87,0.84,15
44,0.78,0.93,0.85,15
45,1,0.67,0.8,15
46,0.6,0.6,0.6,15
47,0.83,0.67,0.74,15
48,0.47,0.53,0.5,15
49,0.81,0.87,0.84,15
50,0.62,0.67,0.65,15
51,0.41,0.47,0.44,15
52,0.58,0.93,0.72,15
53,0.64,0.47,0.54,15
54,0.92,0.8,0.86,15
55,0.38,0.2,0.26,15
56,0.78,0.93,0.85,15
57,0.89,0.53,0.67,15
58,0.57,0.53,0.55,15
59,0.53,0.53,0.53,15
60,0.56,0.33,0.42,15
61,0.87,0.87,0.87,15
62,0.7,0.47,0.56,15
